Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																											152.039371	0.000026	0.000014	0.000001	0.000005	0.000005	0.000007	0.000002	0.000001	0.000000	0.000001																																																																											-0.000498	0.000542	-17.058310	12.572255	-0.000506	0.000520	-0.000513	0.000510	-0.000512	0.000513	-0.000514	0.000511	-0.000513	0.000511	-0.000514	0.000517	-0.000525	0.000529	-0.000513	0.000515																											-147.553438	
 1 	 2																																																																																											152.039371	0.000028	0.000014	0.000001	0.000005	0.000005	0.000007	0.000002	0.000001	0.000000	0.000001																																																																											-0.000497	0.000543	-14.949715	14.437570	-0.000507	0.000520	-0.000513	0.000510	-0.000512	0.000513	-0.000513	0.000511	-0.000513	0.000510	-0.000509	0.000512	-0.000526	0.000529	-0.000513	0.000515																											-151.527352	
 1 	 3																																																																																											152.039371	0.000029	0.000014	0.000001	0.000005	0.000005	0.000007	0.000002	0.000001	0.000000	0.000001																																																																											-0.000498	0.000545	-14.825063	14.573732	-0.000502	0.000514	-0.000513	0.000510	-0.000511	0.000512	-0.000513	0.000511	-0.000513	0.000511	-0.000507	0.000510	-0.000526	0.000529	-0.000513	0.000515																											-151.788166	
 1 	 4																																																																																											152.039372	0.000029	0.000012	0.000001	0.000005	0.000005	0.000007	0.000002	0.000001	0.000000	0.000001																																																																											-0.000497	0.000543	-14.691633	14.680957	-0.000509	0.000522	-0.000512	0.000510	-0.000512	0.000513	-0.000513	0.000511	-0.000513	0.000512	-0.000512	0.000515	-0.000526	0.000529	-0.000513	0.000515																											-152.028822	
 1 	 5																																																																																											152.039372	0.000027	0.000014	0.000001	0.000005	0.000005	0.000008	0.000002	0.000001	0.000000	0.000001																																																																											-0.000497	0.000543	-14.045971	15.351705	-0.000504	0.000519	-0.000513	0.000510	-0.000512	0.000513	-0.000513	0.000511	-0.000514	0.000512	-0.000513	0.000516	-0.000526	0.000529	-0.000513	0.000515																											-153.345232	
 1 	 6																																																																																											152.039372	0.000028	0.000014	0.000001	0.000005	0.000005	0.000008	0.000002	0.000001	0.000000	0.000001																																																																											-0.000496	0.000544	-12.012529	17.807218	-0.000505	0.000520	-0.000513	0.000510	-0.000512	0.000513	-0.000513	0.000511	-0.000513	0.000511	-0.000513	0.000517	-0.000526	0.000529	-0.000513	0.000515																											-157.834191	
 1 	 7																																																																																											152.039372	0.000029	0.000014	0.000001	0.000005	0.000005	0.000008	0.000002	0.000001	0.000000	0.000001																																																																											-0.000495	0.000544	-10.417772	20.117671	-0.000505	0.000520	-0.000513	0.000510	-0.000512	0.000513	-0.000513	0.000511	-0.000515	0.000513	-0.000513	0.000517	-0.000526	0.000530	-0.000513	0.000515																											-161.739405	
 1 	 8																																																																																											152.039372	0.000029	0.000014	0.000001	0.000005	0.000005	0.000008	0.000002	0.000001	0.000000	0.000001																																																																											-0.000494	0.000545	-9.157086	22.069024	-0.000506	0.000521	-0.000513	0.000510	-0.000512	0.000513	-0.000513	0.000511	-0.000514	0.000512	-0.000514	0.000517	-0.000526	0.000530	-0.000513	0.000515																											-164.951446	
 1 	 9																																																																																											152.039371	0.000034	0.000016	0.000001	0.000005	0.000005	0.000008	0.000002	0.000001	0.000001	0.000001																																																																											-0.000494	0.000546	-7.791431	24.465009	-0.000509	0.000521	-0.000514	0.000509	-0.000512	0.000513	-0.000513	0.000511	-0.000514	0.000512	-0.000513	0.000517	-0.000518	0.000522	-0.000513	0.000515																											-168.713088	
 1 	 10																																																																																											152.039372	0.000031	0.000014	0.000001	0.000005	0.000005	0.000008	0.000002	0.000001	0.000044	0.000001																																																																											-0.000494	0.000544	-6.853560	26.727634	-0.000507	0.000520	-0.000513	0.000510	-0.000512	0.000511	-0.000514	0.000511	-0.000514	0.000511	-0.000514	0.000516	-0.000519	0.000521	-0.000515	0.000515																											-171.913611	
 1 	 11																																																																																											152.039373	0.000031	0.000014	0.000001	0.000005	0.000005	0.000008	0.000002	0.000001	0.000191	0.000001																																																																											-0.000502	0.000537	-8.690364	22.937951	-0.000515	0.000514	-0.000516	0.000507	-0.000516	0.000508	-0.000517	0.000509	-0.000517	0.000508	-0.000518	0.000510	-0.000546	0.000535	-0.000518	0.000509																											-166.287191	
 1 	 12																																																																																											152.039375	0.000032	0.000002	0.000001	0.000001	0.000001	0.000008	0.000002	0.000001	0.000361	0.000003																																																																											-0.000513	0.000527	-12.377955	17.293764	-0.000525	0.000506	-0.000513	0.000510	-0.000521	0.000504	-0.000517	0.000507	-0.000517	0.000507	-0.000524	0.000505	-0.000545	0.000520	-0.000523	0.000504																											-156.955487	
 1 	 13																																																																																											152.039375	0.000033	0.000001	0.000001	0.000001	0.000000	0.000009	0.000002	0.000001	0.000474	0.000015																																																																											-0.000526	0.000515	-17.361754	12.362478	-0.000532	0.000501	-0.000514	0.000508	-0.000525	0.000500	-0.000516	0.000504	-0.000516	0.000504	-0.000531	0.000504	-0.000584	0.000550	-0.000528	0.000501																											-147.040450	
 1 	 14																																																																																											152.039361	0.000034	0.000001	0.000001	0.000001	0.000001	0.000009	0.000002	0.000001	0.000527	0.000994																																																																											-0.001159	0.000163	-20.785597	10.015500	-0.000536	0.000497	-0.000514	0.000507	-0.000526	0.000498	-0.000517	0.000504	-0.000517	0.000503	-0.000534	0.000502	-0.000586	0.000548	-0.000530	0.000500																											-141.269636	
