Name	GWP_constr	GWP_op
NUCLEAR	707.879997	0.000000
CCGT	47.333270	0.000000
CCGT_AMMONIA	0.000233	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	10709.997853	0.000000
WIND_ONSHORE	1557.124990	0.000000
WIND_OFFSHORE	1245.699991	0.000000
HYDRO_RIVER	347.275491	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.000985	0.000000
IND_COGEN_WOOD	0.000130	0.000000
IND_COGEN_WASTE	0.000314	0.000000
IND_BOILER_GAS	0.000222	0.000000
IND_BOILER_WOOD	0.000247	0.000000
IND_BOILER_OIL	0.000226	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	27.203683	0.000000
IND_DIRECT_ELEC	2.320071	0.000000
DHN_HP_ELEC	172.269778	0.000000
DHN_COGEN_GAS	0.000648	0.000000
DHN_COGEN_WOOD	0.000129	0.000000
DHN_COGEN_WASTE	0.000256	0.000000
DHN_COGEN_WET_BIOMASS	0.000431	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000335	0.000000
DHN_BOILER_GAS	0.000057	0.000000
DHN_BOILER_WOOD	0.000096	0.000000
DHN_BOILER_OIL	0.000055	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.002668	0.000000
DEC_HP_ELEC	1493.281515	0.000000
DEC_THHP_GAS	0.001826	0.000000
DEC_COGEN_GAS	0.001120	0.000000
DEC_COGEN_OIL	0.001048	0.000000
DEC_ADVCOGEN_GAS	0.000752	0.000000
DEC_ADVCOGEN_H2	0.000725	0.000000
DEC_BOILER_GAS	0.000274	0.000000
DEC_BOILER_WOOD	0.000098	0.000000
DEC_BOILER_OIL	0.000239	0.000000
DEC_SOLAR	0.011594	0.000000
DEC_DIRECT_ELEC	0.000125	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
PLANE	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
CO2_TO_METHANOL	0.000000	0.000000
E_WOOD_TO_METHANOL	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.916299	0.000000
BATT_LI	0.001540	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
JETFUEL_STORAGE	0.000000	0.000000
WOOD_STORAGE	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
ALKALINE_ELECTROLYSIS	0.000000	0.000000
HT_ELECTROLYSIS	0.000000	0.000000
SMR	0.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
WOOD_TO_METHANE	0.000000	0.000000
CO2_TO_METHANE	0.000000	0.000000
E_WOOD_TO_METHANE	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
WOOD_TO_METHANOL	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
E_WOOD_TO_FT	0.000000	0.000000
WOOD_TO_FT	0.000000	0.000000
CO2_TO_FT	0.000000	0.000000
REFINERY_JETFUEL	0.000000	0.000000
REFINERY_GASOLINE	0.000000	0.000000
REFINERY_DIESEL	0.000000	0.000000
CEMENT_PROCESS	0.000000	0.000000
NATURAL_CO2_SEQUESTRATION	0.000000	0.000000
AGRICULTURE_EMISSIONS	0.000000	0.000000
BIOMASS_SEQUESTRATION	0.000000	0.000000
DAC_HT	0.000000	0.000000
DAC_LT	0.000000	0.000000
WOOD_GROWTH	0.000000	0.000000
WET_BIOMASS_GROWTH	0.000000	0.000000
SEQUESTRATION	0.000000	0.000000
GHG_EMISSIONS	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	0.000000	19847.082240
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	0.000000	5087.405628
WASTE	0.000000	12758.500206
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATMOSPHERE	0.000000	0.000000
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	0.000000	0.037292
APPLES	0.000000	0.003678
CEREALSTRAW	0.000000	0.010494
CHERRIES	0.000000	0.006556
MAIZESTRAW	0.000000	0.010064
OLIVES	0.000000	0.002852
OSR	0.000000	0.013950
RICESTRAW	0.000000	0.010015
VINEYARDS	0.000000	0.017080
MISCANTHUS	0.000000	0.003539
SWITCHGRASS	0.000000	0.003584
WILLOW	0.000000	0.002348
POPLAR	0.000000	0.002258
CP_RES	0.000000	0.018252
FUELWOOD_RES	0.000000	585.857824
LANDSCAPECARE	0.000000	376.557792
MSW	0.000000	0.006772
FUELWOODRW	0.000000	178.906318
OTHERSECRESID	0.000000	159.681179
SAWDUST	0.000000	42.822584
CP_RW	0.000000	0.004422
GRASS_FOR_BIOGAS	0.000000	0.049056
MAIZE_SILAGE	0.000000	80.225481
SUGARBEETTOPS	0.000000	0.029108
MANURE_LIQ	0.000000	789.558186
MANURE_SOL	0.000000	872.472897
SLUDGE	0.000000	0.190174
