Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 7 	 6																																																																																																						4.593780	6.291923	0.000000	7.024055	0.000000	5.059142																																																																																																																			-22.968900	
 7 	 7																																																																																																						8.899227	12.188927	0.000000	13.607239	0.000000	9.800742																																																																																																																			-44.496135	
 7 	 8																																																																																																						7.750929	10.616147	0.000000	11.851449	0.000000	8.536118																																																																																																																			-38.754643	
 7 	 9																																																																																																						7.176804	9.829790	0.000000	10.973592	0.000000	7.903833																																																																																																																			-35.884019	
 7 	 10																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 7 	 11																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 7 	 12																																																																																																						10.104948	13.840356	0.000001	15.450829	0.000000	11.128605																																																																																																																			-50.524738	
 7 	 13																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 7 	 14																																																																																																						9.301134	12.739403	0.000001	14.221769	0.000000	10.243363																																																																																																																			-46.505669	
 7 	 15																																																																																																						10.449432	14.312183	0.000001	15.977558	0.000000	11.507987																																																																																																																			-52.247161	
 7 	 16																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 7 	 17																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 7 	 18																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 7 	 19																																																																																																						5.741443	7.863832	0.000000	8.778873	0.000000	6.323066																																																																																																																			-28.707215	
 7 	 20																																																																																																						4.305447	5.897004	0.000000	6.583184	0.000000	4.741600																																																																																																																			-21.527235	
 7 	 21																																																																																																						2.868669	3.929105	0.000000	4.386298	0.000000	3.159273																																																																																																																			-14.343345	
 7 	 22																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 7 	 23																																																																																																						1.148445	1.572981	0.000000	1.756014	0.000000	1.264785																																																																																																																			-5.742225	
 7 	 24																																																																																																						0.459378	0.629192	0.000000	0.702406	0.000000	0.505914																																																																																																																			-2.296890	
 8 	 1																																																																																																						0.286867	0.392910	0.000000	0.438630	0.000000	0.315927																																																																																																																			-1.434334	
 8 	 2																																																																																																						0.114845	0.157298	0.000000	0.175601	0.000000	0.126479																																																																																																																			-0.574222	
 8 	 3																																																																																																						0.057178	0.078314	0.000000	0.087427	0.000000	0.062970																																																																																																																			-0.285889	
 8 	 4																																																																																																						0.689067	0.943788	0.000000	1.053608	0.000000	0.758871																																																																																																																			-3.445335	
 8 	 5																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 8 	 6																																																																																																						4.593780	6.291923	0.000000	7.024055	0.000000	5.059142																																																																																																																			-22.968900	
 8 	 7																																																																																																						8.899227	12.188927	0.000000	13.607239	0.000000	9.800742																																																																																																																			-44.496135	
 8 	 8																																																																																																						7.750929	10.616147	0.000000	11.851449	0.000000	8.536118																																																																																																																			-38.754643	
 8 	 9																																																																																																						7.176804	9.829790	0.000000	10.973592	0.000000	7.903833																																																																																																																			-35.884019	
 8 	 10																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 8 	 11																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 8 	 12																																																																																																						10.104948	13.840356	0.000001	15.450829	0.000000	11.128605																																																																																																																			-50.524738	
 8 	 13																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 8 	 14																																																																																																						9.301134	12.739403	0.000001	14.221769	0.000000	10.243363																																																																																																																			-46.505669	
 8 	 15																																																																																																						10.449432	14.312183	0.000001	15.977558	0.000000	11.507987																																																																																																																			-52.247161	
 8 	 16																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 8 	 17																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 8 	 18																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 8 	 19																																																																																																						5.741443	7.863832	0.000000	8.778873	0.000000	6.323066																																																																																																																			-28.707215	
 8 	 20																																																																																																						4.305447	5.897004	0.000000	6.583184	0.000000	4.741600																																																																																																																			-21.527235	
 8 	 21																																																																																																						2.868669	3.929105	0.000000	4.386298	0.000000	3.159273																																																																																																																			-14.343345	
 8 	 22																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 8 	 23																																																																																																						1.148445	1.572981	0.000000	1.756014	0.000000	1.264785																																																																																																																			-5.742225	
 8 	 24																																																																																																						0.459378	0.629192	0.000000	0.702406	0.000000	0.505914																																																																																																																			-2.296890	
 9 	 1																																																																																																						0.286867	0.392910	0.000000	0.438630	0.000000	0.315927																																																																																																																			-1.434334	
 9 	 2																																																																																																						0.114845	0.157298	0.000000	0.175601	0.000000	0.126479																																																																																																																			-0.574222	
 9 	 3																																																																																																						0.057178	0.078314	0.000000	0.087427	0.000000	0.062970																																																																																																																			-0.285889	
 9 	 4																																																																																																						0.689067	0.943788	0.000000	1.053608	0.000000	0.758871																																																																																																																			-3.445335	
 9 	 5																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 9 	 6																																																																																																						4.593780	6.291923	0.000000	7.024055	0.000000	5.059142																																																																																																																			-22.968900	
 9 	 7																																																																																																						8.899227	12.188927	0.000000	13.607239	0.000000	9.800742																																																																																																																			-44.496135	
 9 	 8																																																																																																						7.750929	10.616147	0.000000	11.851449	0.000000	8.536118																																																																																																																			-38.754643	
 9 	 9																																																																																																						7.176804	9.829790	0.000000	10.973592	0.000000	7.903833																																																																																																																			-35.884019	
 9 	 10																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 9 	 11																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 9 	 12																																																																																																						10.104948	13.840356	0.000001	15.450829	0.000000	11.128605																																																																																																																			-50.524738	
 9 	 13																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 9 	 14																																																																																																						9.301134	12.739403	0.000001	14.221769	0.000000	10.243363																																																																																																																			-46.505669	
 9 	 15																																																																																																						10.449432	14.312183	0.000001	15.977558	0.000000	11.507987																																																																																																																			-52.247161	
 9 	 16																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 9 	 17																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 9 	 18																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 9 	 19																																																																																																						5.741443	7.863832	0.000000	8.778873	0.000000	6.323066																																																																																																																			-28.707215	
 9 	 20																																																																																																						4.305447	5.897004	0.000000	6.583184	0.000000	4.741600																																																																																																																			-21.527235	
 9 	 21																																																																																																						2.868669	3.929105	0.000000	4.386298	0.000000	3.159273																																																																																																																			-14.343345	
 9 	 22																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 9 	 23																																																																																																						1.148445	1.572981	0.000000	1.756014	0.000000	1.264785																																																																																																																			-5.742225	
 9 	 24																																																																																																						0.459378	0.629192	0.000000	0.702406	0.000000	0.505914																																																																																																																			-2.296890	
 10 	 1																																																																																																						0.286867	0.392910	0.000000	0.438630	0.000000	0.315927																																																																																																																			-1.434334	
 10 	 2																																																																																																						0.114845	0.157298	0.000000	0.175601	0.000000	0.126479																																																																																																																			-0.574222	
 10 	 3																																																																																																						0.057178	0.078314	0.000000	0.087427	0.000000	0.062970																																																																																																																			-0.285889	
 10 	 4																																																																																																						0.689067	0.943788	0.000000	1.053608	0.000000	0.758871																																																																																																																			-3.445335	
 10 	 5																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 10 	 6																																																																																																						4.593780	6.291923	0.000000	7.024055	0.000000	5.059142																																																																																																																			-22.968900	
 10 	 7																																																																																																						8.899227	12.188927	0.000000	13.607239	0.000000	9.800742																																																																																																																			-44.496135	
 10 	 8																																																																																																						7.750929	10.616147	0.000000	11.851449	0.000000	8.536118																																																																																																																			-38.754643	
 10 	 9																																																																																																						7.176804	9.829790	0.000000	10.973592	0.000000	7.903833																																																																																																																			-35.884019	
 10 	 10																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 10 	 11																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 10 	 12																																																																																																						10.104948	13.840356	0.000001	15.450829	0.000000	11.128605																																																																																																																			-50.524738	
 10 	 13																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 10 	 14																																																																																																						9.301134	12.739403	0.000001	14.221769	0.000000	10.243363																																																																																																																			-46.505669	
 10 	 15																																																																																																						10.449432	14.312183	0.000001	15.977558	0.000000	11.507987																																																																																																																			-52.247161	
 10 	 16																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 10 	 17																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 10 	 18																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 10 	 19																																																																																																						5.741443	7.863832	0.000000	8.778873	0.000000	6.323066																																																																																																																			-28.707215	
 10 	 20																																																																																																						4.305447	5.897004	0.000000	6.583184	0.000000	4.741600																																																																																																																			-21.527235	
 10 	 21																																																																																																						2.868669	3.929105	0.000000	4.386298	0.000000	3.159273																																																																																																																			-14.343345	
 10 	 22																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 10 	 23																																																																																																						1.148445	1.572981	0.000000	1.756014	0.000000	1.264785																																																																																																																			-5.742225	
 10 	 24																																																																																																						0.459378	0.629192	0.000000	0.702406	0.000000	0.505914																																																																																																																			-2.296890	
 11 	 1																																																																																																						0.286867	0.392910	0.000000	0.438630	0.000000	0.315927																																																																																																																			-1.434334	
 11 	 2																																																																																																						0.114845	0.157298	0.000000	0.175601	0.000000	0.126479																																																																																																																			-0.574222	
 11 	 3																																																																																																						0.057178	0.078314	0.000000	0.087427	0.000000	0.062970																																																																																																																			-0.285889	
 11 	 4																																																																																																						0.689067	0.943788	0.000000	1.053608	0.000000	0.758871																																																																																																																			-3.445335	
 11 	 5																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 11 	 6																																																																																																						4.593780	6.291923	0.000000	7.024055	0.000000	5.059142																																																																																																																			-22.968900	
 11 	 7																																																																																																						8.899227	12.188927	0.000000	13.607239	0.000000	9.800742																																																																																																																			-44.496135	
 11 	 8																																																																																																						7.750929	10.616147	0.000000	11.851449	0.000000	8.536118																																																																																																																			-38.754643	
 11 	 9																																																																																																						7.176804	9.829790	0.000000	10.973592	0.000000	7.903833																																																																																																																			-35.884019	
 11 	 10																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 11 	 11																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 11 	 12																																																																																																						10.104948	13.840356	0.000001	15.450829	0.000000	11.128605																																																																																																																			-50.524738	
 11 	 13																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 11 	 14																																																																																																						9.301134	12.739403	0.000001	14.221769	0.000000	10.243363																																																																																																																			-46.505669	
 11 	 15																																																																																																						10.449432	14.312183	0.000001	15.977558	0.000000	11.507987																																																																																																																			-52.247161	
 11 	 16																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 11 	 17																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 11 	 18																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 11 	 19																																																																																																						5.741443	7.863832	0.000000	8.778873	0.000000	6.323066																																																																																																																			-28.707215	
 11 	 20																																																																																																						4.305447	5.897004	0.000000	6.583184	0.000000	4.741600																																																																																																																			-21.527235	
 11 	 21																																																																																																						2.868669	3.929105	0.000000	4.386298	0.000000	3.159273																																																																																																																			-14.343345	
 11 	 22																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 11 	 23																																																																																																						1.148445	1.572981	0.000000	1.756014	0.000000	1.264785																																																																																																																			-5.742225	
 11 	 24																																																																																																						0.459378	0.629192	0.000000	0.702406	0.000000	0.505914																																																																																																																			-2.296890	
 12 	 1																																																																																																						0.286867	0.392910	0.000000	0.438630	0.000000	0.315927																																																																																																																			-1.434334	
 12 	 2																																																																																																						0.114845	0.157298	0.000000	0.175601	0.000000	0.126479																																																																																																																			-0.574222	
 12 	 3																																																																																																						0.057178	0.078314	0.000000	0.087427	0.000000	0.062970																																																																																																																			-0.285889	
 12 	 4																																																																																																						0.689067	0.943788	0.000000	1.053608	0.000000	0.758871																																																																																																																			-3.445335	
 12 	 5																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 12 	 6																																																																																																						4.593780	6.291923	0.000000	7.024055	0.000000	5.059142																																																																																																																			-22.968900	
 12 	 7																																																																																																						8.899227	12.188927	0.000000	13.607239	0.000000	9.800742																																																																																																																			-44.496135	
 12 	 8																																																																																																						7.750929	10.616147	0.000000	11.851449	0.000000	8.536118																																																																																																																			-38.754643	
 12 	 9																																																																																																						7.176804	9.829790	0.000000	10.973592	0.000000	7.903833																																																																																																																			-35.884019	
 12 	 10																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 12 	 11																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 12 	 12																																																																																																						10.104948	13.840356	0.000001	15.450829	0.000000	11.128605																																																																																																																			-50.524738	
 12 	 13																																																																																																						9.186289	12.582105	0.000001	14.046167	0.000000	10.116885																																																																																																																			-45.931447	
 12 	 14																																																																																																						9.301134	12.739403	0.000001	14.221769	0.000000	10.243363																																																																																																																			-46.505669	
 12 	 15																																																																																																						10.449432	14.312183	0.000001	15.977558	0.000000	11.507987																																																																																																																			-52.247161	
 12 	 16																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 12 	 17																																																																																																						10.908761	14.941308	0.000001	16.679889	0.000000	12.013848																																																																																																																			-54.543807	
 12 	 18																																																																																																						8.038040	11.009392	0.000000	12.290452	0.000000	8.852314																																																																																																																			-40.190199	
 12 	 19																																																																																																						5.741443	7.863832	0.000000	8.778873	0.000000	6.323066																																																																																																																			-28.707215	
 12 	 20																																																																																																						4.305447	5.897004	0.000000	6.583184	0.000000	4.741600																																																																																																																			-21.527235	
 12 	 21																																																																																																						2.868669	3.929105	0.000000	4.386298	0.000000	3.159273																																																																																																																			-14.343345	
 12 	 22																																																																																																						1.837512	2.516769	0.000000	2.809622	0.000000	2.023657																																																																																																																			-9.187560	
 12 	 23																																																																																																						1.148445	1.572981	0.000000	1.756014	0.000000	1.264785																																																																																																																			-5.742225	
 12 	 24																																																																																																						0.459378	0.629192	0.000000	0.702406	0.000000	0.505914																																																																																																																			-2.296890	
