Name	GWP_constr	GWP_op
NUCLEAR	707.879990	0.000000
CCGT	48.918163	0.000000
CCGT_AMMONIA	0.000215	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	10709.996407	0.000000
WIND_ONSHORE	1557.124974	0.000000
WIND_OFFSHORE	1079.699567	0.000000
HYDRO_RIVER	347.275458	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.000735	0.000000
IND_COGEN_WOOD	0.000087	0.000000
IND_COGEN_WASTE	0.000218	0.000000
IND_BOILER_GAS	0.000150	0.000000
IND_BOILER_WOOD	0.000161	0.000000
IND_BOILER_OIL	0.000143	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	27.203581	0.000000
IND_DIRECT_ELEC	1.569869	0.000000
DHN_HP_ELEC	165.239565	0.000000
DHN_COGEN_GAS	0.000522	0.000000
DHN_COGEN_WOOD	0.000089	0.000000
DHN_COGEN_WASTE	0.000187	0.000000
DHN_COGEN_WET_BIOMASS	0.000479	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000347	0.000000
DHN_BOILER_GAS	0.000038	0.000000
DHN_BOILER_WOOD	0.000066	0.000000
DHN_BOILER_OIL	0.000038	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000606	0.000000
DEC_HP_ELEC	1492.808408	0.000000
DEC_THHP_GAS	0.001659	0.000000
DEC_COGEN_GAS	0.000889	0.000000
DEC_COGEN_OIL	0.000770	0.000000
DEC_ADVCOGEN_GAS	0.000523	0.000000
DEC_ADVCOGEN_H2	0.000508	0.000000
DEC_BOILER_GAS	0.000169	0.000000
DEC_BOILER_WOOD	0.000062	0.000000
DEC_BOILER_OIL	0.000145	0.000000
DEC_SOLAR	0.008399	0.000000
DEC_DIRECT_ELEC	0.000076	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
PLANE	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
CO2_TO_METHANOL	0.000000	0.000000
E_WOOD_TO_METHANOL	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.916298	0.000000
BATT_LI	0.000957	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
JETFUEL_STORAGE	0.000000	0.000000
WOOD_STORAGE	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
ALKALINE_ELECTROLYSIS	0.000000	0.000000
HT_ELECTROLYSIS	0.000000	0.000000
SMR	0.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
WOOD_TO_METHANE	0.000000	0.000000
CO2_TO_METHANE	0.000000	0.000000
E_WOOD_TO_METHANE	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
WOOD_TO_METHANOL	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
E_WOOD_TO_FT	0.000000	0.000000
