TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.782976	6175.858798	60.000000	0.000000	59.999996	60.000000	0.000000	0.369345	1.000000	0.843906	0.843906	0.052828	42472.797513
CCGT	6812.157110	172.529820	25.000000	4.000000	8.247563	Infinity	0.000000	0.003262	1.000000	0.054224	0.955769	0.070952	1515.819598
CCGT_AMMONIA	0.078559	0.001990	25.000000	0.000000	0.000095	Infinity	0.000000	0.000000	1.000000	0.072101	0.590000	0.070952	0.017481
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.980984	2927.865422	25.000000	0.000000	209.999810	210.000000	0.000000	0.225657	1.000000	0.147314	1.000000	0.070952	267749.757546
WIND_ONSHORE	85646.997366	996.141146	30.000000	0.000000	74.999998	75.000000	0.000000	0.142665	1.000000	0.260777	1.000000	0.065051	46713.748563
WIND_OFFSHORE	267992.216264	1864.554337	30.000000	0.000000	50.023746	60.000000	0.000000	0.183102	1.000000	0.501799	1.000000	0.065051	31157.290408
HYDRO_RIVER	110988.189762	1109.785058	80.000000	0.000000	21.999990	22.000000	0.000000	0.075968	1.000000	0.473392	1.000000	0.051030	27782.027425
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.047363	0.003044	25.000000	0.000000	0.000031	Infinity	0.000000	0.000000	1.000000	0.056731	0.844900	0.070952	0.031749
IND_COGEN_WOOD	0.042432	0.001554	25.000000	0.000000	0.000036	Infinity	0.000000	0.000001	1.000000	0.108762	0.844900	0.070952	0.005981
IND_COGEN_WASTE	0.048461	0.001787	25.000000	0.000000	0.000015	Infinity	0.000000	0.000000	1.000000	0.075270	0.844900	0.070952	0.009863
IND_BOILER_GAS	0.023435	0.000470	17.000000	0.000000	0.000332	Infinity	0.000000	0.000001	1.000000	0.034543	0.944300	0.088699	0.004086
IND_BOILER_WOOD	0.027903	0.000558	17.000000	0.000000	0.000202	Infinity	0.000000	0.000002	1.000000	0.182144	0.894600	0.088699	0.005828
IND_BOILER_OIL	0.022676	0.000488	17.000000	0.000000	0.000344	Infinity	0.000000	0.000001	1.000000	0.024378	0.944300	0.088699	0.004244
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.894600	0.088699	0.000000
IND_BOILER_WASTE	2214.099994	44.280458	17.000000	0.000000	16.018666	Infinity	0.000000	0.492310	1.000000	0.492027	0.894600	0.088699	462.458883
IND_DIRECT_ELEC	6211.067306	28.175972	15.000000	0.000000	16.019053	Infinity	0.000000	0.507685	1.000000	0.507382	0.944300	0.096342	23.548007
DHN_HP_ELEC	8950.394277	303.496480	25.000000	0.000000	22.617427	Infinity	0.000000	0.999996	1.000000	0.660498	0.944300	0.070952	3953.300017
DHN_COGEN_GAS	0.068593	0.002006	25.000000	0.000000	0.000050	Infinity	0.000000	0.000000	1.000000	0.053336	0.844900	0.070952	0.024732
DHN_COGEN_WOOD	0.031602	0.001157	25.000000	0.000000	0.000027	Infinity	0.000000	0.000000	1.000000	0.053900	0.844900	0.070952	0.004454
DHN_COGEN_WASTE	0.043594	0.001607	25.000000	0.000000	0.000014	Infinity	0.000000	0.000000	1.000000	0.046702	0.844900	0.070952	0.008873
DHN_COGEN_WET_BIOMASS	0.024590	0.002001	25.000000	0.000000	0.000016	Infinity	0.000000	0.000000	1.000000	0.055291	0.745500	0.070952	0.016881
DHN_COGEN_BIO_HYDROLYSIS	0.063356	0.003096	15.000000	0.000000	0.000013	Infinity	0.000000	0.000001	1.000000	0.082573	0.844900	0.096342	0.008335
DHN_BOILER_GAS	0.006496	0.000130	17.000000	0.000000	0.000092	Infinity	0.000000	0.000000	1.000000	0.053951	0.944300	0.088699	0.001132
DHN_BOILER_WOOD	0.009986	0.000200	17.000000	0.000000	0.000072	Infinity	0.000000	0.000001	1.000000	0.081085	0.894600	0.088699	0.002086
DHN_BOILER_OIL	0.006059	0.000130	17.000000	0.000000	0.000092	Infinity	0.000000	0.000000	1.000000	0.046812	0.944300	0.088699	0.001134
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.065051	0.000000
DHN_SOLAR	0.048641	0.000057	30.000000	0.000000	0.000128	Infinity	0.000000	0.000001	1.000000	0.118721	1.000000	0.065051	0.028215
DEC_HP_ELEC	92039.971281	3837.556740	18.000000	0.000000	162.966060	Infinity	0.000000	0.999996	1.000000	0.338356	1.000000	0.085546	26871.473608
