Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 2 	 24																																																																																																						0.459378	0.767185	0.000007	0.000010	0.000001	1.070309																																																																																																																			-2.296889	
 3 	 1																																																																																																						0.286867	0.479082	0.000004	0.000006	0.000001	0.668374																																																																																																																			-1.434334	
 3 	 2																																																																																																						0.114844	0.191796	0.000002	0.000002	0.000000	0.267577																																																																																																																			-0.574222	
 3 	 3																																																																																																						0.057178	0.095490	0.000001	0.000001	0.000000	0.133219																																																																																																																			-0.285889	
 3 	 4																																																																																																						0.689067	1.150777	0.000010	0.000014	0.000001	1.605464																																																																																																																			-3.445334	
 3 	 5																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
 3 	 6																																																																																																						4.593778	7.671846	0.000070	0.000096	0.000009	10.703094																																																																																																																			-22.968892	
 3 	 7																																																																																																						8.899223	14.862162	0.000135	0.000185	0.000018	20.734399																																																																																																																			-44.496120	
 3 	 8																																																																																																						7.750925	12.944445	0.000118	0.000161	0.000016	18.058967																																																																																																																			-38.754630	
 3 	 9																																																																																																						7.176801	11.985627	0.000109	0.000149	0.000015	16.721308																																																																																																																			-35.884007	
 3 	 10																																																																																																						8.038037	13.423935	0.000122	0.000167	0.000016	18.727910																																																																																																																			-40.190186	
 3 	 11																																																																																																						9.186286	15.341570	0.000140	0.000191	0.000019	21.403228																																																																																																																			-45.931431	
 3 	 12																																																																																																						10.104943	16.875776	0.000153	0.000210	0.000021	23.543619																																																																																																																			-50.524721	
 3 	 13																																																																																																						9.186286	15.341570	0.000140	0.000191	0.000019	21.403228																																																																																																																			-45.931431	
 3 	 14																																																																																																						9.301130	15.533367	0.000141	0.000194	0.000019	21.670806																																																																																																																			-46.505654	
 3 	 15																																																																																																						10.449428	17.451083	0.000159	0.000217	0.000021	24.346238																																																																																																																			-52.247144	
 3 	 16																																																																																																						10.908757	18.218186	0.000166	0.000227	0.000022	25.416433																																																																																																																			-54.543788	
 3 	 17																																																																																																						10.908757	18.218186	0.000166	0.000227	0.000022	25.416433																																																																																																																			-54.543788	
 3 	 18																																																																																																						8.038037	13.423935	0.000122	0.000167	0.000016	18.727910																																																																																																																			-40.190186	
 3 	 19																																																																																																						5.741441	9.588502	0.000087	0.000119	0.000012	13.377046																																																																																																																			-28.707206	
 3 	 20																																																																																																						4.305445	7.190315	0.000065	0.000090	0.000009	10.031304																																																																																																																			-21.527228	
 3 	 21																																																																																																						2.868668	4.790823	0.000044	0.000060	0.000006	6.683741																																																																																																																			-14.343340	
 3 	 22																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
 3 	 23																																																																																																						1.148445	1.917962	0.000017	0.000024	0.000002	2.675774																																																																																																																			-5.742223	
 3 	 24																																																																																																						0.459378	0.767185	0.000007	0.000010	0.000001	1.070309																																																																																																																			-2.296889	
 4 	 1																																																																																																						0.286867	0.479082	0.000004	0.000006	0.000001	0.668374																																																																																																																			-1.434334	
 4 	 2																																																																																																						0.114844	0.191796	0.000002	0.000002	0.000000	0.267577																																																																																																																			-0.574222	
 4 	 3																																																																																																						0.057178	0.095490	0.000001	0.000001	0.000000	0.133219																																																																																																																			-0.285889	
 4 	 4																																																																																																						0.689067	1.150777	0.000010	0.000014	0.000001	1.605464																																																																																																																			-3.445334	
 4 	 5																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
 4 	 6																																																																																																						4.593778	7.671846	0.000070	0.000096	0.000009	10.703094																																																																																																																			-22.968892	
 4 	 7																																																																																																						8.899223	14.862162	0.000135	0.000185	0.000018	20.734399																																																																																																																			-44.496120	
 4 	 8																																																																																																						7.750925	12.944445	0.000118	0.000161	0.000016	18.058967																																																																																																																			-38.754630	
 4 	 9																																																																																																						7.176801	11.985627	0.000109	0.000149	0.000015	16.721308																																																																																																																			-35.884007	
 4 	 10																																																																																																						8.038037	13.423935	0.000122	0.000167	0.000016	18.727910																																																																																																																			-40.190186	
 4 	 11																																																																																																						9.186286	15.341570	0.000140	0.000191	0.000019	21.403228																																																																																																																			-45.931431	
 4 	 12																																																																																																						10.104943	16.875776	0.000153	0.000210	0.000021	23.543619																																																																																																																			-50.524721	
 4 	 13																																																																																																						9.186286	15.341570	0.000140	0.000191	0.000019	21.403228																																																																																																																			-45.931431	
 4 	 14																																																																																																						9.301130	15.533367	0.000141	0.000194	0.000019	21.670806																																																																																																																			-46.505654	
 4 	 15																																																																																																						10.449428	17.451083	0.000159	0.000217	0.000021	24.346238																																																																																																																			-52.247144	
 4 	 16																																																																																																						10.908757	18.218186	0.000166	0.000227	0.000022	25.416433																																																																																																																			-54.543788	
 4 	 17																																																																																																						10.908757	18.218186	0.000166	0.000227	0.000022	25.416433																																																																																																																			-54.543788	
 4 	 18																																																																																																						8.038037	13.423935	0.000122	0.000167	0.000016	18.727910																																																																																																																			-40.190186	
 4 	 19																																																																																																						5.741441	9.588502	0.000087	0.000119	0.000012	13.377046																																																																																																																			-28.707206	
 4 	 20																																																																																																						4.305445	7.190315	0.000065	0.000090	0.000009	10.031304																																																																																																																			-21.527228	
 4 	 21																																																																																																						2.868668	4.790823	0.000044	0.000060	0.000006	6.683741																																																																																																																			-14.343340	
 4 	 22																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
 4 	 23																																																																																																						1.148445	1.917962	0.000017	0.000024	0.000002	2.675774																																																																																																																			-5.742223	
 4 	 24																																																																																																						0.459378	0.767185	0.000007	0.000010	0.000001	1.070309																																																																																																																			-2.296889	
 5 	 1																																																																																																						0.286867	0.479082	0.000004	0.000006	0.000001	0.668374																																																																																																																			-1.434334	
 5 	 2																																																																																																						0.114844	0.191796	0.000002	0.000002	0.000000	0.267577																																																																																																																			-0.574222	
 5 	 3																																																																																																						0.057178	0.095490	0.000001	0.000001	0.000000	0.133219																																																																																																																			-0.285889	
 5 	 4																																																																																																						0.689067	1.150777	0.000010	0.000014	0.000001	1.605464																																																																																																																			-3.445334	
 5 	 5																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
 5 	 6																																																																																																						4.593778	7.671846	0.000070	0.000096	0.000009	10.703094																																																																																																																			-22.968892	
 5 	 7																																																																																																						8.899223	14.862162	0.000135	0.000185	0.000018	20.734399																																																																																																																			-44.496120	
 5 	 8																																																																																																						7.750925	12.944445	0.000118	0.000161	0.000016	18.058967																																																																																																																			-38.754630	
 5 	 9																																																																																																						7.176801	11.985627	0.000109	0.000149	0.000015	16.721308																																																																																																																			-35.884007	
 5 	 10																																																																																																						8.038037	13.423935	0.000122	0.000167	0.000016	18.727910																																																																																																																			-40.190186	
 5 	 11																																																																																																						9.186286	15.341570	0.000140	0.000191	0.000019	21.403228																																																																																																																			-45.931431	
 5 	 12																																																																																																						10.104943	16.875776	0.000153	0.000210	0.000021	23.543619																																																																																																																			-50.524721	
 5 	 13																																																																																																						9.186286	15.341570	0.000140	0.000191	0.000019	21.403228																																																																																																																			-45.931431	
 5 	 14																																																																																																						9.301130	15.533367	0.000141	0.000194	0.000019	21.670806																																																																																																																			-46.505654	
 5 	 15																																																																																																						10.449428	17.451083	0.000159	0.000217	0.000021	24.346238																																																																																																																			-52.247144	
 5 	 16																																																																																																						10.908757	18.218186	0.000166	0.000227	0.000022	25.416433																																																																																																																			-54.543788	
 5 	 17																																																																																																						10.908757	18.218186	0.000166	0.000227	0.000022	25.416433																																																																																																																			-54.543788	
 5 	 18																																																																																																						8.038037	13.423935	0.000122	0.000167	0.000016	18.727910																																																																																																																			-40.190186	
 5 	 19																																																																																																						5.741441	9.588502	0.000087	0.000119	0.000012	13.377046																																																																																																																			-28.707206	
 5 	 20																																																																																																						4.305445	7.190315	0.000065	0.000090	0.000009	10.031304																																																																																																																			-21.527228	
 5 	 21																																																																																																						2.868668	4.790823	0.000044	0.000060	0.000006	6.683741																																																																																																																			-14.343340	
 5 	 22																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
 5 	 23																																																																																																						1.148445	1.917962	0.000017	0.000024	0.000002	2.675774																																																																																																																			-5.742223	
 5 	 24																																																																																																						0.459378	0.767185	0.000007	0.000010	0.000001	1.070309																																																																																																																			-2.296889	
 6 	 1																																																																																																						0.286867	0.479082	0.000004	0.000006	0.000001	0.668374																																																																																																																			-1.434334	
 6 	 2																																																																																																						0.114844	0.191796	0.000002	0.000002	0.000000	0.267577																																																																																																																			-0.574222	
 6 	 3																																																																																																						0.057178	0.095490	0.000001	0.000001	0.000000	0.133219																																																																																																																			-0.285889	
 6 	 4																																																																																																						0.689067	1.150777	0.000010	0.000014	0.000001	1.605464																																																																																																																			-3.445334	
 6 	 5																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
 6 	 6																																																																																																						4.593778	7.671846	0.000070	0.000096	0.000009	10.703094																																																																																																																			-22.968892	
 6 	 7																																																																																																						8.899223	14.862162	0.000135	0.000185	0.000018	20.734399																																																																																																																			-44.496120	
 6 	 8																																																																																																						7.750925	12.944445	0.000118	0.000161	0.000016	18.058967																																																																																																																			-38.754630	
 6 	 9																																																																																																						7.176801	11.985627	0.000109	0.000149	0.000015	16.721308																																																																																																																			-35.884007	
 6 	 10																																																																																																						8.038037	13.423935	0.000122	0.000167	0.000016	18.727910																																																																																																																			-40.190186	
 6 	 11																																																																																																						9.186286	15.341570	0.000140	0.000191	0.000019	21.403228																																																																																																																			-45.931431	
 6 	 12																																																																																																						10.104943	16.875776	0.000153	0.000210	0.000021	23.543619																																																																																																																			-50.524721	
 6 	 13																																																																																																						9.186286	15.341570	0.000140	0.000191	0.000019	21.403228																																																																																																																			-45.931431	
 6 	 14																																																																																																						9.301130	15.533367	0.000141	0.000194	0.000019	21.670806																																																																																																																			-46.505654	
 6 	 15																																																																																																						10.449428	17.451083	0.000159	0.000217	0.000021	24.346238																																																																																																																			-52.247144	
 6 	 16																																																																																																						10.908757	18.218186	0.000166	0.000227	0.000022	25.416433																																																																																																																			-54.543788	
 6 	 17																																																																																																						10.908757	18.218186	0.000166	0.000227	0.000022	25.416433																																																																																																																			-54.543788	
 6 	 18																																																																																																						8.038037	13.423935	0.000122	0.000167	0.000016	18.727910																																																																																																																			-40.190186	
 6 	 19																																																																																																						5.741441	9.588502	0.000087	0.000119	0.000012	13.377046																																																																																																																			-28.707206	
 6 	 20																																																																																																						4.305445	7.190315	0.000065	0.000090	0.000009	10.031304																																																																																																																			-21.527228	
 6 	 21																																																																																																						2.868668	4.790823	0.000044	0.000060	0.000006	6.683741																																																																																																																			-14.343340	
 6 	 22																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
 6 	 23																																																																																																						1.148445	1.917962	0.000017	0.000024	0.000002	2.675774																																																																																																																			-5.742223	
 6 	 24																																																																																																						0.459378	0.767185	0.000007	0.000010	0.000001	1.070309																																																																																																																			-2.296889	
 7 	 1																																																																																																						0.286867	0.479082	0.000004	0.000006	0.000001	0.668374																																																																																																																			-1.434334	
 7 	 2																																																																																																						0.114844	0.191796	0.000002	0.000002	0.000000	0.267577																																																																																																																			-0.574222	
 7 	 3																																																																																																						0.057178	0.095490	0.000001	0.000001	0.000000	0.133219																																																																																																																			-0.285889	
 7 	 4																																																																																																						0.689067	1.150777	0.000010	0.000014	0.000001	1.605464																																																																																																																			-3.445334	
 7 	 5																																																																																																						1.837511	3.068738	0.000028	0.000038	0.000004	4.281238																																																																																																																			-9.187557	
